1,드라마
2,코미디
3,액션
4,멜로/로맨스
5,스릴러
6,미스터리
7,공포(호러)
8,어드벤처
9,범죄
10,가족
11,판타지
12,SF
13,서부극(웨스턴)
14,사극
15,애니메이션
16,다큐멘터리
17,전쟁
18,뮤지컬
19,성인물(에로)
20,공연
21,기타
